conductor-design-gates	claude	A
conductor-design-gates	codex	NONE
conductor-design-gates	grok	A
conductor-design-gates	agy	A
evidence-rules-guard	claude	B
evidence-rules-guard	codex	NONE
evidence-rules-guard	grok	B
evidence-rules-guard	agy	B
intake-idea-expansion	claude	B
intake-idea-expansion	codex	NONE
intake-idea-expansion	grok	A
intake-idea-expansion	agy	B
plan-test-strategy	claude	A
plan-test-strategy	codex	NONE
plan-test-strategy	grok	A
plan-test-strategy	agy	A
status-machine-complete	claude	B
status-machine-complete	codex	NONE
status-machine-complete	grok	B
status-machine-complete	agy	B
triage-assumption-protocol	claude	B
triage-assumption-protocol	codex	NONE
triage-assumption-protocol	grok	B
triage-assumption-protocol	agy	A
verify-failure-and-family	claude	A
verify-failure-and-family	codex	NONE
verify-failure-and-family	grok	B
verify-failure-and-family	agy	B
