pair01	claude	B
pair01	codex	B
pair01	grok	B
pair02	claude	A
pair02	codex	A
pair02	grok	A
pair03	claude	B
pair03	codex	A
pair03	grok	A
pair04	claude	B
pair04	codex	B
pair04	grok	B
pair05	claude	B
pair05	codex	B
pair05	grok	B
pair06	claude	B
pair06	codex	B
pair06	grok	B
pair07	claude	TIE
pair07	codex	A
pair07	grok	A
pair08	claude	B
pair08	codex	B
pair08	grok	B
pair09	claude	B
pair09	codex	B
pair09	grok	B
pair10	claude	A
pair10	codex	A
pair10	grok	A
pair11	claude	A
pair11	codex	A
pair11	grok	A
pair12	claude	A
pair12	codex	A
pair12	grok	B
pair13	claude	B
pair13	codex	B
pair13	grok	A
pair14	claude	B
pair14	codex	B
pair14	grok	B
